distance_metric,k,train_auc,train_f1,train_accuracy,train_precision_macro,train_recall_macro,train_top_k,test_auc,test_f1,test_accuracy,test_precision_macro,test_recall_macro,test_top_k
euclidean,1,1.0,1.0,1.0,1.0,1.0,1.0,0.7944708599761482,0.6285199734532082,0.6285110663983904,0.6733970612720612,0.6304285714285714,0.9491750503018108
euclidean,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8687808439178767,0.6285199734532082,0.6285110663983904,0.6733970612720612,0.6304285714285714,0.9675050301810865
euclidean,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9001309645636091,0.6691579771389974,0.6694768611670021,0.7173666333666334,0.6721746031746031,0.9788128772635816
euclidean,4,1.0,1.0,1.0,1.0,1.0,1.0,0.911500168893389,0.6830027402922678,0.689215291750503,0.7296992321404085,0.6890476190476189,0.9816297786720322
euclidean,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9234950016115748,0.7029477703396199,0.7061971830985916,0.7539116439116439,0.7058730158730159,0.984446680080483
euclidean,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9300861068179882,0.7362446902546311,0.7414688128772635,0.7852134809634809,0.739063492063492,0.984446680080483
euclidean,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9359772379627216,0.739705147833725,0.7443259557344064,0.7873356374018139,0.740984126984127,0.9858551307847083
euclidean,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9423237726629383,0.7436327081930798,0.7500402414486922,0.7895542741572154,0.7472857142857143,0.9872837022132798
euclidean,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9453509486782619,0.7442832117359913,0.7500402414486922,0.7887614052614053,0.7454920634920634,0.9901207243460763
euclidean,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9481233845705092,0.7576790893922338,0.7640845070422536,0.804426393051393,0.7592063492063492,0.9915291750503018
euclidean,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9497173052701026,0.756431612803224,0.7612273641851106,0.8098058420337833,0.7554761904761904,0.9929376257545272
euclidean,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9537921541853835,0.7588594121480041,0.76261569416499,0.8118511202849439,0.7583650793650794,0.9943460764587526
euclidean,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9551390620984611,0.7650532191865008,0.7682494969818914,0.8178477633477634,0.7641111111111111,0.9943460764587526
euclidean,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9563276074645899,0.7544385826479648,0.7584104627766599,0.8148077429106841,0.7529365079365079,0.9943460764587526
euclidean,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9575313695959083,0.7498886460134542,0.7541649899396379,0.8139480385885186,0.7481746031746032,0.9943460764587526
cosine,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8444490376564427,0.7150049380100464,0.7189939637826962,0.7386994949494949,0.7202698412698412,0.9646478873239437
cosine,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9037417679449915,0.7150049380100464,0.7189939637826962,0.7386994949494949,0.7202698412698412,0.9843863179074447
cosine,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9265059907407484,0.7435294688171791,0.7485714285714286,0.7627614607614608,0.752047619047619,0.9872434607645875
cosine,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9406120248533231,0.7713182856419092,0.7739839034205231,0.7849771894771895,0.777111111111111,0.9886519114688129
cosine,5,1.0,1.0,1.0,1.0,1.0,1.0,0.951494229638407,0.7698363962319071,0.773943661971831,0.7853383838383838,0.7773015873015873,0.9900804828973844
cosine,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9580079825263743,0.7901283412038225,0.7951911468812878,0.8036330336330335,0.7989841269841269,0.9886720321931589
cosine,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9603138975940396,0.7842646659699761,0.789476861167002,0.7994415306915307,0.7932222222222223,0.9914889336016097
cosine,8,1.0,1.0,1.0,1.0,1.0,1.0,0.964111110039668,0.7982389885469371,0.8022132796780685,0.812910755910756,0.8057777777777778,0.9900603621730383
cosine,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9672554402916843,0.8015845653127925,0.8064185110663985,0.8153638583638584,0.8083174603174605,0.9943259557344065
cosine,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9699476581140717,0.7989844853102357,0.8036016096579477,0.8135666000666001,0.8047460317460319,0.9971629778672032
cosine,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9728428706360643,0.7935012440745716,0.7979275653923541,0.8075844710844711,0.8006507936507937,0.9985915492957746
cosine,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9743838890751879,0.8033856654368499,0.8063983903420523,0.8165088245088246,0.8095555555555555,0.9985915492957746
cosine,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9765848961579083,0.8032680992897712,0.8064386317907444,0.8195530303030303,0.8077460317460318,1.0
cosine,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9761895323069008,0.8121426085094816,0.8135010060362171,0.8318971861471862,0.8154126984126984,1.0
cosine,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9769843123463776,0.8052731496416717,0.8064386317907444,0.8230268620268621,0.8082380952380952,1.0
